id,predicted_income
LOA-N2R13L12,38784.15964149132
LFHE1YBH,33940.134979523194
LOA-BQYE33Y5,36345.17089125102
LOA-1ZPEX6BB,39891.88275751838
LOA-SNVU4KP8,21658.160592948767
A1BLSD6A,36041.146803415206
SGN1ISUQ,55537.822675411284
LOA-CD47R5PF,25348.402883778723
LOA-16488U5M,34653.87732072934
LOA-E31MFQHJ,33039.970989025096
LOA-2PGYDD5P,29700.02052656396
LOA-YFH9QHY1,37781.27663468632
LOA-YFH9QHY1,37781.27663468632
LOA-LA1DV2CD,34005.606442761025
ED9XFU16,25234.137021601113
ED9XFU16,25234.137021601113
6IC7NUZ1,45669.73894288707
LOA-S6LB8PV5,104286.18607128937
DKENUDD9,47306.787472119075
Y28L491S,30471.96265357404
LOA-3D74CJ5H,35236.50092326221
LOA-1FPA9ZY7,34122.06661873929
LOA-ZBTY8DA3,94297.81295827928
MJR665MM,47483.91350842305
LOA-82B5U3YB,91332.04088496102
ANEZSVNQ,32669.188011853785
LOA-D7VTEYDK,29405.568251064466
2SSF6SQN,79630.26767706375
4BSPC357,31502.492090446103
LOA-6SGZAYAZ,29535.71246285024
HY9HXKVQ,31194.75227653778
HY9HXKVQ,29179.619459532307
PGZXDUXI,80407.64401275353
5IV68Y5V,41146.63703380615
LOA-1286DAYF,96323.02202270743
LOA-FV6Y1U3P,53310.58129429082
LOA-BP9LXB6D,34286.55874932645
LOA-2G3Q1CXK,54737.06038976621
LOA-C9AER2Y8,35780.370241330806
LOA-SUEGKRXD,31185.935717653196
LOA-URDVVFJ6,25646.074998118504
LOA-MRQKKDSH,32856.47335157321
LOA-AD53RGN5,41755.74610564315
5I7UZ55L,31872.21063144116
LOA-N1E9L5CU,28183.69806320421
LOA-SEPPC32N,37013.19293255804
LOA-9B6TKFLS,30848.91926356639
6YNBVNXS,33575.550267637926
LOA-5BS775ZJ,34257.72193704797
LOA-AVY65T1U,55310.61603901035
LOA-48U5HSAG,55893.740108262835
LOA-FPNGMSEN,69957.86279101144
LOA-6CVJ5J8Q,40091.12819383555
LOA-DXJDYTG4,27947.339233548773
NTER24AZ,26564.564288653735
LOA-X5RPC2P7,33575.71722542771
U5MY5195,33230.47070588304
LOA-BDZAP5VY,28481.412208651556
LOA-G8RANRQZ,40405.504246981174
LOA-52L1NBKV,50044.02140140327
LOA-NSQ9HXG8,33405.6570894398
LOA-YUQZ66PL,32574.687294253596
YB7UUD6T,35913.646814161664
LOA-HJZHEG77,44960.2787173128
LOA-AL723CP2,35192.249028850245
LOA-PVB6JQCT,37068.00816563015
LOA-C3U4G421,31841.490963637363
LOA-S4F5P7G5,43131.7847003878
LOA-PFLKP44T,33121.106616078716
LOA-VBUXKLXT,45001.9397141637
LOA-7TZAY9MU,32927.93837232211
LOA-T4QX99SM,26946.981893739146
LOA-TG4FNZ38,31846.30650552231
LOA-E1SFYHSS,33855.98302961269
LOA-M9J7P5RA,29353.874292594435
LOA-UBYSRP77,33169.8253847149
LOA-YV5QRLE6,28752.816794682396
LOA-RYYNUB82,29114.033804102033
LOA-JEGJXR5N,32008.14708065652
LOA-M7TXA41L,58109.5102335455
LOA-DSXDPLXR,28555.755678186062
LOA-NS1LECAA,49049.45640634881
LOA-6NV1SKH3,31573.377957656674
LOA-KNNHLFP4,33025.84121635411
LOA-7YZU48FQ,27954.347261648923
LOA-62F5BSZG,35717.45781317349
LOA-K8HCTJ3A,31420.86607398781
LOA-ARYC4T34,47144.81891214734
LOA-ALT5KUKL,27585.83937985345
LOA-31Z8JPYP,39294.21291109272
LOA-RPK87JY5,40151.17613956124
LOA-KV55NHZZ,69787.7082365845
LOA-DRHPYVVL,38950.67203594286
LOA-HDXTRQ42,32251.945108073833
LOA-D79XRG1Y,33105.35515953117
LOA-37R4R6VB,27596.18867243608
LOA-1VYNSTY6,37356.115538159705
LQY7HT51,31480.28158465277
LQY7HT51,31057.08808235014
LOA-XJU1MK34,47622.1028364309
LOA-QQ9T75SX,32094.22660327621
LOA-XJQCJFFM,33938.06902373496
LOA-QNCZNUGP,63143.94727786565
LOA-YB8H2KVU,26162.86119903862
LOA-X47R5R25,28408.072082042207
LOA-HNFSZY2M,37960.200302295605
LOA-9RR176Q5,20261.567775258532
LOA-XRTSGVC7,53557.50650926173
LOA-XX95C71N,34043.251125060415
LOA-PNXNQV36,31002.5153206268
LOA-433B3UY5,56431.273048183066
LOA-GAP4N9Y3,29205.56666094408
LOA-7J84C7UF,23009.99561901559
LOA-V85GQ59C,27045.251012072753
LOA-1Y8TD1M7,60184.64845862631
LOA-AAS136S6,25910.62379385803
LOA-AAS136S6,25910.62379385803
LOA-XPM2VVFL,34301.49086710796
LOA-29ZHY8LM,28487.22178897822
LOA-29ZHY8LM,28520.67630352649
LOA-91X5X5NT,30641.378481563606
LOA-D9VKHZPC,24126.185617655105
LOA-3U4AB91H,33764.99683868879
LOA-3U4AB91H,33571.74401795986
LOA-KL7MZQAY,27790.323511466682
LOA-QQTKD11B,39192.85012368101
LOA-FFV1MM1G,35003.47536739973
LOA-TXBF3TAZ,32718.183386247143
LOA-2A9AAVJL,49709.6391408169
LOA-9H5SFK3G,30236.370682701112
LOA-VEAE52UB,30935.06652540899
LOA-RYFVEZFP,35070.40467674668
LOA-ZN38P35S,38788.82630995815
LOA-E92RGM5X,70917.19690850493
LOA-5CBRQSDR,37177.531311960556
LOA-DBDPFMK9,28796.613043719808
LOA-6UPK22RB,40994.245556805006
LOA-6UPK22RB,40994.245556805006
LOA-DVU47DB6,30558.12301061333
ANUBHJKL,81682.94699282911
LOA-X574GU4D,33383.473845080196
LOA-U3FA2ZZ5,28873.281363051803
LOA-1XXZ2AYE,35198.28795628708
IL9JE89N,73008.69331736428
LOA-TEB8M9UG,31425.027167487846
LOA-TEB8M9UG,30946.221102698495
LOA-4E1TFHB2,33013.87169284515
LOA-4E1TFHB2,33289.95485495574
LOA-KQQYD4ZS,26823.04210778608
LOA-QCBUPVH8,29911.621967190127
LOA-KTZP3F8K,27416.965863049147
5DK853K7,40122.80308681668
LOA-GVAPUFSM,26496.127653641965
LOA-DXV4DQEU,26134.469329850013
LOA-E57TXDEN,39860.241960701154
LOA-UBEF9RER,25732.615085303332
LOA-SESYD6UD,54722.283932612976
LOA-SESYD6UD,54525.712951629306
LOA-4M4LR9CB,72144.13108207648
LOA-55LP1YRN,33167.323065155506
LOA-SN1YFEXP,54408.098408107384
LOA-AZV7HEUM,20458.96866679941
LOA-U31PCBN3,39037.70480383148
LOA-R9UAJ4CB,33049.82874776497
LOA-R9UAJ4CB,33049.82874776497
LOA-QZ86YUPJ,46372.15567011823
LOA-H1GEHYDJ,30798.482519059504
LOA-KKD6G5JY,72950.73089954855
