id,predicted_income
LOA-LCTEB3CH,43700.00532347009
LOA-QDPJHBSQ,30236.499846691113
LOA-JUML6KBY,42288.368130015326
LOA-F43PQMC5,34251.29873668443
LOA-151UELMQ,39877.37498961769
LOA-S44LDRNA,64025.385493803115
LOA-H1MEUALR,31775.141182752795
LOA-3J2D1X13,33478.68521949669
LOA-J67VDT5R,35704.497718583196
LOA-EQM66E5X,32686.4484191352
LOA-AAG4SF9H,31013.43925315535
LOA-G48EKU65,34686.53779122062
LOA-ZM4NC1FT,30464.097040905788
LOA-HYK4DRMZ,35953.72735568539
LOA-7QCG3TAV,21125.820481050476
LOA-6VPZNUKS,23263.521096637185
LOA-A2AREZYZ,34307.40085453338
LOA-GZENM1PB,29803.184890135606
LOA-VCM2EKET,21013.43292771429
LOA-1MFQM49F,26661.913694285682
LOA-9UK3XFKH,82523.56088534894
LOA-QDXFZJ2S,35500.617933866626
3EEIAX83,31460.318798088596
LOA-P7HNLEYU,31560.616560225357
LOA-JTASU6UR,38385.50424355366
LOA-7UFSF5GY,35724.40105760822
LOA-GPZDLQD6,31403.035077335226
LOA-YQXFTKR7,78599.27751233015
LOA-3HY6G37T,33800.473286831955
LOA-3HY6G37T,33800.473286831955
LOA-SH2CAC7S,31907.48226515184
LOA-3UMCQCZ9,49008.67746166272
LOA-GXRG5HY7,31680.71776951135
LOA-BPTVQVGX,44572.76022791327
LOA-E1R53QKD,98525.41987969272
LOA-QCSAZXL1,37799.60713980702
LOA-AS9UP761,31286.891980741893
LOA-NY6XFGTR,31582.66167503018
LOA-1CGU264U,30630.486549694157
URTNPBFZ,37607.61399362577
LOA-ENQN4TEM,24837.10603507979
LOA-RD8P9NT2,42822.534985374645
LOA-348LUGB5,34523.805698620694
LOA-44LNXQZ7,32845.993485685
LOA-D3PK4RVE,35522.488954927496
LOA-SMETS8UN,33272.89804150915
LOA-2GFVBC91,30652.826346937443
LOA-L6AZYA8L,26856.70140034171
LOA-L6AZYA8L,26856.70140034171
LOA-5XHZ5TTG,37745.67873513988
LOA-U5ZZJTSC,22432.412370990132
LOA-U5ZZJTSC,22757.796375759328
LOA-QNFXRMHF,48716.42342417543
LOA-D9A36PHS,22831.35575254568
LOA-R684VBA9,22823.28594816308
LOA-FDU65PNZ,33312.376871119995
LOA-ZEYS8HQE,31822.509613229366
LOA-3ZUE79R8,30752.946097511216
LOA-1P9S2UUH,36901.95560137121
LOA-SAMN15ZN,36449.95343581698
LOA-42GHB6UU,27594.256942329666
LOA-HC21K8QD,39001.70245809086
LOA-5AJN9C5E,27415.617152317413
JB6YKMN1,31039.08051270554
LOA-XA2PAGBK,25970.909276765356
LOA-CA9PFYGR,33667.64238876167
LOA-D4M72ZM6,28811.905490154113
LOA-2X4HAA8Y,27725.537203131793
LOA-LHRACMAC,41962.559545490396
LOA-VM284C4G,46625.73111819672
LOA-UMDNXLB2,30591.97919044153
LOA-84MYFUTZ,38095.83468233708
LOA-8DZZTNVB,43321.778014026844
LOA-KRGUFHSH,47176.8118861214
LOA-8L5CF6KT,46565.33884939211
RJCYRUCU,66498.46067581013
LOA-RE68REV2,34971.47293162395
LOA-3RQDBY17,38525.873416309085
LOA-G74JQRPE,32978.62712297583
LOA-G74JQRPE,32130.171675432008
LOA-ZKZBU78H,51152.862404358806
LOA-C7D58KL1,42237.60288806318
LOA-YJZ4YSLR,26305.29362053271
LOA-6A9ATNS7,25390.21437478958
LOA-TC2CH7S6,31462.64009259876
LOA-SZ7ZXPK5,56697.888762999035
LOA-CVC5VY8K,36438.89177544715
LOA-CVC5VY8K,36438.89177544715
LOA-CVC5VY8K,36438.89177544715
LOA-LU9NHUBF,32511.138493843002
LOA-331LBMKC,28170.17940444774
LOA-G2Y49GZD,38893.36677728486
LOA-XJAJSPVB,41891.843981810685
LOA-1HPDTQT1,63070.71048483069
LOA-NK4NK8XL,30755.679285391627
LOA-EG1RLAVZ,29971.391304306635
LOA-VC4G31MC,48795.65425844792
LOA-RLN42L67,33317.630440318
1U3EBNNY,23344.12622899772
LOA-PCYFKVYJ,28726.899652459553
LOA-UDLYPDTG,35684.10940556007
KHRDJ2UG,52018.80931086236
LOA-36HTZH3G,31179.675765694792
TY6ZL2QL,36915.352220456014
LOA-2KXP4ESJ,30968.779580832364
VJY1UMCH,51131.8716929611
LOA-YB8LV76U,27976.42881122293
LOA-86PK5S31,41293.35520380111
LOA-GXTDTZFJ,41531.32550474176
LOA-UQBQFYA8,66846.84514528433
LOA-G25551JT,36261.75584371324
LOA-FCJZ7F5H,30027.94784889846
LOA-ETA6JPCX,28287.11516406022
LOA-XPD7R8D3,47230.98675437743
AGVR7M88,31074.46182812679
LOA-CTXQ4KC5,30344.159052211864
LOA-EEHMDKNT,50121.32078461046
FZL9VYTS,37959.162057688474
ZF18QZXQ,70390.9259796559
LOA-R1C5133G,24165.874206931174
LOA-XBDS824N,22702.689725121883
LOA-JURV16JL,34574.09278895645
LOA-8DT84837,32975.44777108345
LOA-LPG2LYSD,39477.5296525734
